"","rank","title","authors","affiliations","pubtitle","punumber","py","volume","issue","part","spage","epage","arnumber","abstract","doi","mdurl","pdf","pubtype","publisher","isbn","issn","publicationId","thesaurusterms","controlledterms","uncontrolledterms","htmlFlag"
"290","290","Half-Wave-Coupled Ring-FP Laser With 50-Channel 100-GHz-Spaced Wavelength Tuning","Lin Wu;  Zhipeng Hu;  Xiaolu Liao;  Jian-Jun He","Dept. of Opt. Eng., Zhejiang Univ., Hangzhou, China","Photonics Journal, IEEE","4563994","2014","6","4","","1","8","6872520","We report our latest experimental results of the half-wave-coupled rectangular ring-FP laser. All the waveguides of the device are active, and the thermooptic effect is employed to extend the tuning range beyond the free-spectral-range limit. Singleelectrode tuning of 20 channels with 100-GHz spacing is obtained. By combining five single-electrode-controlled tuning curves with different bias currents on fixed electrodes and with the thermoelectric cooler fixed at 20 &#x00B0;C, wavelength tuning of 50 channels with 100-GHz spacing covering the L-band is achieved with a side-mode suppression ratio up to 41 dB. Direct modulation at 2.5 Gb/s is also demonstrated. The simple and compact ring-FP laser has great potential as a low-cost tunable laser for many applications.","10.1109/JPHOT.2014.2345876","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6872520&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6872520","Journals & Magazines","IEEE","","1943-0655","6872520","Couplers|Electrodes|Laser modes|Laser tuning|Ring lasers|Waveguide lasers","laser tuning|optical modulation|semiconductor lasers|thermo-optical effects|thermoelectric cooling","","1"
"291","291","Nonuniformity Characterization of CdTe Solar Cells Using LBIC","Geisthardt, R.M.;  Sites, J.R.","Dept. of Phys., Colorado State Univ., Fort Collins, CO, USA","Photovoltaics, IEEE Journal of","5503869","2014","4","4","","1114","1118","6797857","Light-beam-induced current measurements have been used for characterization of nonuniformities in cadmium telluride (CdTe) solar cells. Spectral dependence, voltage-bias dependence, and resolution dependence are used for detailed characterization of nonuniformities in junction quality, window thickness, and absorber band gap. These tools were applied to CdTe cells and used to identify thin regions in the CdS layer, regions of modified band gap, and weak diode regions. In addition, an improved procedure has allowed for shorter measurement times without discernable loss of accuracy.","10.1109/JPHOTOV.2014.2314575","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6797857&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6797857","Journals & Magazines","IEEE","","2156-3381","6797857","Current measurement|Measurement by laser beam|Photovoltaic cells|Photovoltaic systems|Time measurement|Wavelength measurement","II-VI semiconductors|OBIC|cadmium compounds|electric current measurement|energy gap|semiconductor device measurement|solar absorber-convertors|solar cells","","1"
"292","292","Identifying Cancer Biomarkers From Microarray Data Using Feature Selection and Semisupervised Learning","Chakraborty, D.;  Maulik, U.","Murshidabad Coll. of Eng. & Technol., Berhampore, India","Translational Engineering in Health and Medicine, IEEE Journal of","6221039","2014","2","","","1","11","6971078","Microarrays have now gone from obscurity to being almost ubiquitous in biological research. At the same time, the statistical methodology for microarray analysis has progressed from simple visual assessments of results to novel algorithms for analyzing changes in expression profiles. In a micro-RNA (miRNA) or gene-expression profiling experiment, the expression levels of thousands of genes/miRNAs are simultaneously monitored to study the effects of certain treatments, diseases, and developmental stages on their expressions. Microarray-based gene expression profiling can be used to identify genes, whose expressions are changed in response to pathogens or other organisms by comparing gene expression in infected to that in uninfected cells or tissues. Recent studies have revealed that patterns of altered microarray expression profiles in cancer can serve as molecular biomarkers for tumor diagnosis, prognosis of disease-specific outcomes, and prediction of therapeutic responses. Microarray data sets containing expression profiles of a number of miRNAs or genes are used to identify biomarkers, which have dysregulation in normal and malignant tissues. However, small sample size remains a bottleneck to design successful classification methods. On the other hand, adequate number of microarray data that do not have clinical knowledge can be employed as additional source of information. In this paper, a combination of kernelized fuzzy rough set (KFRS) and semisupervised support vector machine (S<sup>3</sup>VM) is proposed for predicting cancer biomarkers from one miRNA and three gene expression data sets. Biomarkers are discovered employing three feature selection methods, including KFRS. The effectiveness of the proposed KFRS and S<sup>3</sup>VM combination on the microarray data sets is demonstrated, and the cancer biomarkers identified from miRNA data are reported. Furthermore, biological significance tests are conducted for miRNA cancer biomarkers.","10.1109/JTEHM.2014.2375820","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6971078&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971078","Journals & Magazines","IEEE","","2168-2372","6971078","Biomarkers|Cancer|Gene expression|Kernel|Support vector machines|Training|Tumors","RNA|biomedical equipment|cancer|diseases|feature selection|fuzzy set theory|genetics|lab-on-a-chip|learning (artificial intelligence)|medical diagnostic computing|molecular biophysics|patient diagnosis|patient monitoring|patient treatment|pattern classification|statistical analysis|support vector machines|tumours","","1"
"293","293","A New Unconditionally Stable Scheme for FDTD Method Using Associated Hermite Orthogonal Functions","Zheng-Yu Huang;  Li-Hua Shi;  Bin Chen;  Ying-Hui Zhou","Nat. Key Lab. on Electromagn. Environ. Effects & Electro-Opt. Eng., PLA Univ. of Sci. & Technol., Nanjing, China","Antennas and Propagation, IEEE Transactions on","8","2014","62","9","","4804","4809","6822549","An unconditionally stable solution using associated Hermite (AH) functions is proposed for the finite-difference time-domain (FDTD) method. The electromagnetic fields and their time derivatives in time-domain Maxwell's equations are expanded by these orthonormal basis functions. By applying Galerkin temporal testing procedure to these expanded equations the time variable can be eliminated from the calculations. A set of implicit equations is derived to calculate the magnetic filed expansion coefficients of all orders of AH functions for the temporal variable. And the electrical field coefficients can be obtained respectively. With the appropriate translation and scale parameters, we can find a minimum-order basis functions subspace to approach a particular electromagnetic field. The numerical results have shown that the proposed method can reduce the CPU time to 0.59% of the traditional FDTD method while maintaining good accuracy.","10.1109/TAP.2014.2327141","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6822549&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6822549","Journals & Magazines","IEEE","","0018-926X","6822549","Equations|Finite difference methods|Magnetic fields|Mathematical model|Matrix decomposition|Time-domain analysis|Vectors","Galerkin method|Maxwell equations|computational electromagnetics|electromagnetic fields|finite difference time-domain analysis","","1"
"294","294","A Vision of IoT: Applications, Challenges, and Opportunities With China Perspective","Shanzhi Chen;  Hui Xu;  Dake Liu;  Bo Hu;  Hucheng Wang","State Key Lab. of Wireless Mobile Commun., China Acad. of Telecommun. Technol. (CATT), Beijing, China","Internet of Things Journal, IEEE","6488907","2014","1","4","","349","359","6851114","Internet of Things (IoT), which will create a huge network of billions or trillions of &#x201C;Things&#x201D; communicating with one another, are facing many technical and application challenges. This paper introduces the status of IoT development in China, including policies, R&amp;D plans, applications, and standardization. With China's perspective, this paper depicts such challenges on technologies, applications, and standardization, and also proposes an open and general IoT architecture consisting of three platforms to meet the architecture challenge. Finally, this paper discusses the opportunity and prospect of IoT.","10.1109/JIOT.2014.2337336","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6851114&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851114","Journals & Magazines","IEEE","","2327-4662","6851114","Computer architecture|Industries|Monitoring|Sensors|Standards|Vehicles","Internet of Things|research and development","","1"
"295","295","Intermittent Electrical Contact Resistance as a Contributory Factor in the Loss of Automobile Speed Control Functional Integrity","Anderson, A.F.","","Access, IEEE","6287639","2014","2","","","258","289","6777269","For three decades, sudden acceleration (SA) incidents have been reported, where automobiles accelerate without warning. These incidents are often diagnosed as no fault found. Investigators, who follow the line of diagnostic reasoning from the 1989 National Highway Traffic Safety Administration (NHTSA) SA report, tend to conclude that SAs are caused by driver pedal error. This paper reviews the diagnostic process in the NHTSA report and finds that: 1) it assumes that an intermittent electronic malfunction should be reproducible either through in-vehicle or laboratory bench tests without saying why and 2) the consequence of this assumption, for which there appears to be no forensic precedent, is to recategorize possible intermittent electronic failures as proven to be nonelectronic. Showing that the supposedly inescapable conclusions of the NHTSA report concerning electronic malfunctions are without foundation opens the way for this paper to discuss electronic intermittency as a potential factor in SA incidents. It then reports a simple practical experiment that shows how mechanically induced electrical contact intermittencies can generate false speed signals that an automobile speed control system may accept as true and that do not trigger any diagnostic fault codes. Since the generation of accurate speed signals is essential for the proper functioning of a number of other automobile safety-critical control systems, the apparent ease with which false speed signals can be generated by vibration of a poor electrical contact is obviously a matter of general concern. Various ways of reducing the likelihood of SAs are discussed, including electrical contact improvements to reduce the likelihood of generating false speed signals, improved battery maintenance, and the incorporation of an independent fail-safe that reduces engine power in an emergency, such as a kill switch.","10.1109/ACCESS.2014.2313296","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6777269&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6777269","Journals & Magazines","IEEE","","2169-3536","6777269","Acceleration|Automotive electronics|Electric contact resistance|Engines|Fault diagnosis|Velocity control","automobiles|automotive electronics|electrical contacts|road safety|velocimeters|velocity control","","1"
"296","296","A Compact and Low-Power Fractionally Injection-Locked Quadrature Frequency Synthesizer Using a Self-Synchronized Gating Injection Technique for Software-Defined Radios","Wei Deng;  Hara, S.;  Musa, A.;  Okada, K.;  Matsuzawa, A.","Dept. of Phys. Electron., Tokyo Inst. of Technol., Tokyo, Japan","Solid-State Circuits, IEEE Journal of","4","2014","49","9","","1984","1994","6862065","This paper describes a compact and low-power frequency synthesizer with quadrature phase output for software-defined radios (SDRs). The proposed synthesizer is constructed using a core phase-locked loop (PLL), which is coupled with a fractional-N injection-locked frequency divider (ILFD). The fractional-N injection-locking operation is achieved by the proposed self-synchronized gating injection technique. The principle of a fractional-N injection locking operation and the concept of the proposed circuits are described in detail. Analysis for predicting the locking range of the proposed fractional-N ILFD is investigated. A digital calibration scheme is adopted in order to compensate for process, voltage, and temperature (PVT) variations. Implemented in a 65 nm CMOS process, this work demonstrates continuous frequency coverage from 10 MHz to 6.6 GHz with quadrature phase output while occupying a small area of 0.38 mm<sup>2</sup> and consuming 16 to 26 mW, depending on the output frequency. The normalized phase noise achieves -135.3 dBc/Hz at an offset of 3 MHz and -95.1 dBc/Hz at an offset of 10 kHz, both from a carrier frequency of 1.7 GHz.","10.1109/JSSC.2014.2334392","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6862065&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6862065","Journals & Magazines","IEEE","","0018-9200","6862065","Frequency conversion|Frequency synthesizers|Phase locked loops|Power demand|Resonant frequency|Synthesizers|Voltage-controlled oscillators","calibration|frequency dividers|frequency synthesizers|phase locked loops|phase noise|software radio","","1"
"297","297","An MDP Model-Based Reinforcement Learning Approach for Production Station Ramp-Up Optimization: Q-Learning Analysis","Doltsinis, S.;  Ferreira, P.;  Lohse, N.","Manuf. Div., Univ. of Nottingham, Nottingham, UK","Systems, Man, and Cybernetics: Systems, IEEE Transactions on","6221021","2014","44","9","","1125","1138","6702489","Ramp-up is a significant bottleneck for the introduction of new or adapted manufacturing systems. The effort and time required to ramp-up a system is largely dependent on the effectiveness of the human decision making process to select the most promising sequence of actions to improve the system to the required level of performance. Although existing work has identified significant factors influencing the effectiveness of ramp-up, little has been done to support the decision making during the process. This paper approaches ramp-up as a sequential adjustment and tuning process that aims to get a manufacturing system to a desirable performance in the fastest possible time. Production stations and machines are the key resources in a manufacturing system. They are often functionally decoupled and can be treated in the first instance as independent ramp-up problems. Hence, this paper focuses on developing a Markov decision process (MDP) model to formalize ramp-up of production stations and enable their formal analysis. The aim is to capture the cause-and-effect relationships between an operator's adaptation or adjustment of a station and the station's response to improve the effectiveness of the process. Reinforcement learning has been identified as a promising approach to learn from ramp-up experience and discover more successful decision-making policies. Batch learning in particular can perform well with little data. This paper investigates the application of a Q-batch learning algorithm combined with an MDP model of the ramp-up process. The approach has been applied to a highly automated production station where several ramp-up processes are carried out. The convergence of the Q-learning algorithm has been analyzed along with the variation of its parameters. Finally, the learned policy has been applied and compared against previous ramp-up cases.","10.1109/TSMC.2013.2294155","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6702489&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6702489","Journals & Magazines","IEEE","","2168-2216","6702489","Algorithm design and analysis|Decision making|Learning (artificial intelligence)|Manufacturing systems|Personnel","Markov processes|decision making|learning (artificial intelligence)|manufacturing systems|production engineering computing","","1"
"298","298","Wound Rotor Machine Fed by a Single-Phase Grid and Controlled by an Isolated Inverter","Yongsu Han;  Jung-Ik Ha","Dept. of Electr. & Comput. Eng., Seoul Nat. Univ., Seoul, South Korea","Power Electronics, IEEE Transactions on","63","2014","29","9","","4843","4854","6615970","This paper proposes a novel energy conversion system for variable speed drives. It consists of a wound rotor machine and an inverter without any rectifier and input filter. In the proposed system, the stator of the machine is directly connected to a single-phase grid and the rotor is connected to three-phase inverter isolated with any external power source. The inverter can not only be connected through slip rings but also integrated on the rotor due to the structure. In this paper, based on the positive and negative sequence model, the rotor, stator powers, and the torque capability in the rotor energy balance and unity grid power factor are analyzed. From these analyses, the vector control methods of the torque, speed, the dc-link voltage of the isolated inverter, and the grid power factor are proposed. Since the power supplied from the single-phase grid is pulsating and the machine is directly connected to the grid, the controlled torque and power inevitably pulsates at twice the grid frequency. Nevertheless, the machine can start, accelerate, and decelerate in the wide range. The experimental results present the performance and the feasibility of the proposed system.","10.1109/TPEL.2013.2283738","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6615970&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6615970","Journals & Magazines","IEEE","","0885-8993","6615970","Energy conversion|Inverters|Rotors|Stator windings|Torque|Voltage control","direct energy conversion|invertors|machine control|power factor|rotors|stators|variable speed drives","","1"
"299","299","Low Power Very High Frequency Switch-Mode Power Supply With 50 V Input and 5 V Output","Madsen, M.;  Knott, A.;  Andersen, M.A.E.","Dept. of Electr. Eng., Tech. Univ. of Denmark, Lyngby, Denmark","Power Electronics, IEEE Transactions on","63","2014","29","12","","6569","6580","6739180","This paper presents the design of a resonant converter with a switching frequency in the very high frequency range (30-300 MHz), a large step down ratio (ten times), and low output power (1 W). Several different inverters and rectifiers are analyzed and compared. The class E inverter and rectifier are selected based on complexity and efficiency estimates. Three different power stages are implemented; one with a large input inductor, one with a switch with small capacitances, and one with a switch with low on-resistance. The power stages are designed with the same specifications and efficiencies from 60.7-82.9% are achieved.","10.1109/TPEL.2014.2305738","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6739180&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6739180","Journals & Magazines","IEEE","","0885-8993","6739180","Capacitance|Power generation|Resonant frequency|Resonant inverters|Switches|Switching frequency","DC-DC power convertors|rectifiers|resonant power convertors|switched mode power supplies","","1"
"300","300","Direct Machining of Low-Loss THz Waveguide Components With an RF Choke","Lewis, S.M.;  Nanni, E.A.;  Temkin, R.J.","Dept. of Nucl. Sci. & Eng., Massachusetts Inst. of Technol. (MIT), Cambridge, MA, USA","Microwave and Wireless Components Letters, IEEE","7260","2014","24","12","","842","844","6740086","We present results for the successful fabrication of low-loss THz metallic waveguide components using direct machining with a CNC end mill. The approach uses a split-block machining process with the addition of an RF choke running parallel to the waveguide. The choke greatly reduces coupling to the parasitic TM0 mode of the parallel-plate waveguide produced by the split-block. This method has demonstrated loss as low as 0.2 dB/cm at 280 GHz for a copper WR-3 waveguide. It has also been used in the fabrication of 3 and 10 dB directional couplers in brass, demonstrating excellent agreement with design simulations from 240-260 GHz. The method may be adapted to structures with features on the order of 200 &#x03BC;m.","10.1109/LMWC.2014.2303161","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6740086&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6740086","Journals & Magazines","IEEE","","1531-1309","6740086","Directional couplers|Fabrication|Machining|Millimeter wave technology|Optical device fabrication|Waveguide components","copper|inductors|machining|millimetre wave directional couplers|parallel plate waveguides","","1"
"301","301","A Review of the Pinned Photodiode for CCD and CMOS Image Sensors","Fossum, E.R.;  Hondongwa, D.B.","Thayer Sch. of Eng., Dartmouth Coll., Hanover, NH, USA","Electron Devices Society, IEEE Journal of the","6245494","2014","2","3","","33","43","6742594","The pinned photodiode is the primary photodetector structure used in most CCD and CMOS image sensors. This paper reviews the development, physics, and technology of the pinned photodiode.","10.1109/JEDS.2014.2306412","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6742594&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6742594","Journals & Magazines","IEEE","","2168-6734","6742594","CMOS image sensors|CMOS integrated circuits|Charge coupled devices|Charge transfer|Electric potential|Photodiodes","CCD image sensors|CMOS image sensors|p-i-n photodiodes|photodetectors","",""
"302","302","Fabrication Attacks: Zero-Overhead Malicious Modifications Enabling Modern Microprocessor Privilege Escalation","Tsoutsos, N.G.;  Maniatakos, M.","Polytech. Sch. of Eng., Dept. of Comput. Sci. & Eng., New York Univ., New York, NY, USA","Emerging Topics in Computing, IEEE Transactions on","6245516","2014","2","1","","81","93","6646239","The wide deployment of general purpose and embedded microprocessors has emphasized the need for defenses against cyber-attacks. Due to the globalized supply chain, however, there are several stages where a processor can be maliciously modified. The most promising stage, and the hardest during which to inject the hardware trojan, is the fabrication stage. As modern microprocessor chips are characterized by very dense, billion-transistor designs, such attacks must be very carefully crafted. In this paper, we demonstrate zero overhead malicious modifications on both high-performance and embedded microprocessors. These hardware trojans enable privilege escalation through execution of an instruction stream that excites the necessary conditions to make the modification appear. The minimal footprint, however, comes at the cost of a small window of attack opportunities. Experimental results show that malicious users can gain escalated privileges within a few million clock cycles. In addition, no system crashes were reported during normal operation, rendering the modifications transparent to the end user.","10.1109/TETC.2013.2287186","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6646239&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6646239","Journals & Magazines","IEEE","","2168-6750","6646239","Computer architecture|Embedded systems|Fabrication|Hardware|Logic gates|Microprocessors|Trojan horses","invasive software|multiprocessing systems","","1"
"303","303","VCSEL Based Coherent PONs","Jensen, J.B.;  Rodes, R.;  Caballero, A.;  Ning Cheng;  Zibar, D.;  Monroy, I.T.","Dept. of Photonics Eng., Tech. Univ. of Denmark, Lyngby, Denmark","Lightwave Technology, Journal of","50","2014","32","8","","1423","1433","6737252","We present a review of research performed in the area of coherent access technologies employing vertical cavity surface emitting lasers (VCSELs). Experimental demonstrations of optical transmission over a passive fiber link with coherent detection using VCSEL local oscillators and directly modulated VCSEL transmitters at bit rates up to 10 Gbps in the C-band as well as in the O-band are presented. The broad linewidth and frequency chirp associated with directly modulated VCSELs are utilized in an envelope detection receiver scheme which is demonstrated digitally (off-line) as well as analog (real-time). Additionally, it is shown that in the optical front-end of a coherent receiver for access networks, the 90 <sup>&#x00B0;</sup> hybrid can be replaced by a 3-dB coupler. The achieved results show that VCSELs are attractive light source candidates for transmitter as well as local oscillator for coherent detection PONs.","10.1109/JLT.2014.2305572","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6737252&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6737252","Journals & Magazines","IEEE","","0733-8724","6737252","Coherence|Optical modulation|Optical receivers|Optical signal processing|Optical transmitters|Passive optical networks|Vertical cavity surface emitting lasers","laser cavity resonators|optical fibre couplers|optical links|optical modulation|optical receivers|optical transmitters|passive optical networks|semiconductor lasers|surface emitting lasers","","1"
"304","304","Multisource X-Ray and CT: Lessons Learned and Future Outlook","Neculaes, V.B.;  Edic, P.M.;  Frontera, M.;  Caiafa, A.;  Ge Wang;  De Man, B.","GE Global Res., Niskayuna, NY, USA","Access, IEEE","6287639","2014","2","","","1568","1585","6928407","Distributed X-ray sources open the way to innovative system concepts in X-ray and computed tomography. They offer promising opportunities in terms of system performance, but they pose unique challenges in terms of source and system technologies. Several academic and industrial teams have proposed a variety of concepts and developed some unique prototypes. We present a broad review of multisource systems. We also discuss X-ray source components and challenges. We close with our perspective on the future prospects of multisource imaging.","10.1109/ACCESS.2014.2363949","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6928407&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928407","Journals & Magazines","IEEE","","2169-3536","6928407","Computed tomography|Detectors|Distributed processing|Electron tubes|Image processing|X-ray imaging","X-ray microscopy|computerised tomography","","1"
"305","305","Dynamic Control of Mobile Multirobot Systems: The Cluster Space Formulation","Mas, I.;  Kitts, C.A.","Inst. Tecnol. de Buenos Aires, Consejo Nac. de Investig. Cientificas y Tec., Buenos Aires, Argentina","Access, IEEE","6287639","2014","2","","","558","570","6818372","The formation control technique called cluster space control promotes simplified specification and monitoring of the motion of mobile multirobot systems of limited size. Previous paper has established the conceptual foundation of this approach and has experimentally verified and validated its use for various systems implementing kinematic controllers. In this paper, we briefly review the definition of the cluster space framework and introduce a new cluster space dynamic model. This model represents the dynamics of the formation as a whole as a function of the dynamics of the member robots. Given this model, generalized cluster space forces can be applied to the formation, and a Jacobian transpose controller can be implemented to transform cluster space compensation forces into robot-level forces to be applied to the robots in the formation. Then, a nonlinear model-based partition controller is proposed. This controller cancels out the formation dynamics and effectively decouples the cluster space variables. Computer simulations and experimental results using three autonomous surface vessels and four land rovers show the effectiveness of the approach. Finally, sensitivity to errors in the estimation of cluster model parameters is analyzed.","10.1109/ACCESS.2014.2325742","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6818372&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6818372","Journals & Magazines","IEEE","","2169-3536","6818372","Aerospace electronics|Computational modeling|Control systems|Mobile communication|Mobile robots|Monitoring|Multi-robot systems|Robot sensing systems|Robots","mobile robots|multi-robot systems|position control|remotely operated vehicles","","1"
"306","306","Joint Optimization of Transmission-Order Selection and Channel Allocation for Bidirectional Wireless Links&#x2014;Part I: Game Theoretic Analysis","Uykan, Z.;  Jantti, R.","Dept. of Commun. & Networking (COMNET), Aalto Univ., Espoo, Finland","Wireless Communications, IEEE Transactions on","7693","2014","13","7","","4003","4013","6783803","In this two-part paper, we consider a system consisting of bidirectional wireless links that interfere with each other, which has been the of focus of intensive research recently in emerging wireless systems like Device-to-Device (D2D) communications underlaying cellular networks, heterogeneous networks, and small-cell networks. The problem is allocating the time resources (transmission orders) and frequency resources (channels) among the transmitters such that the overall network interference is minimized. Here, transmission order (TO) is a novel dimension for optimization. In Part I, we analyze the TO optimization problem in the presence of channel allocation (CA), i.e., joint CA and the TO optimization problem from a game theoretic perspective, and prove that the joint optimization problem can be formulated as an exact potential game, which has at least one &#x201C;pure strategy Nash Equilibrium&#x201D; for any subset of the complete CA-TO action set and for any initial CA and TO conditions. We also show that the proposed joint CA and TO game is equal to the max-cut of a novel TO-dependent holistic system interference graph. In Part II, we present novel joint CA-TO algorithms and their performance analysis in D2D communications underlays.","10.1109/TWC.2014.2314633","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6783803&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6783803","Journals & Magazines","IEEE","","1536-1276","6783803","Games|Indexes|Interference|Joints|Optimization|Signal to noise ratio|Wireless communication","cellular radio|channel allocation|game theory|graph theory|minimisation|radio transmitters|radiofrequency interference","","1"
"307","307","Double-Layer Crystalline Silicon on Insulator Material Platform for Integrated Photonic Applications","Moradinejad, H.;  Atabaki, A.H.;  Hosseinnia, A.H.;  Eftekhar, A.A.;  Adibi, A.","Sch. of Electr. & Comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA","Photonics Journal, IEEE","4563994","2014","6","6","","1","8","6945248","We report a high optical-quality double-layer silicon (Si) material platform with a thin interface oxide using a low-temperature wafer bonding technique. To assess the quality of the platform, resonators with different radii are fabricated, and their quality factors (Q) are measured. Q's of 25 k and 350 k are demonstrated in 2-&#x03BC;m- and 20-&#x03BC;m-radius microring resonators, respectively. The former is the most compact high-Q resonator demonstrated in any type of double-layer Si platform, and the latter is the highest Q demonstrated in a double-layer Si platform to date. This material platform enables a new set of integrated optical devices for a wide range of applications, including high-speed modulators, tunable filters, and low-power switches.","10.1109/JPHOT.2014.2366169","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6945248&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6945248","Journals & Magazines","IEEE","","1943-0655","6945248","Bonding|Optical resonators|Optical waveguides|Photonics|Silicon|Waveguide discontinuities","Q-factor|integrated optics|micro-optics|microcavities|optical fabrication|optical filters|optical modulation|optical multilayers|optical resonators|optical switches|silicon-on-insulator|wafer bonding","","1"
"308","308","Controlled Light&#x2013;Matter Interaction in Graphene Electrooptic Devices Using Nanophotonic Cavities and Waveguides","Xuetao Gan;  Shiue, R.-J.;  Yuanda Gao;  Assefa, S.;  Hone, J.;  Englund, D.","Sch. of Sci., Northwestern Polytech. Univ., Xi'an, China","Selected Topics in Quantum Electronics, IEEE Journal of","2944","2014","20","1","","95","105","6576195","Nanophotonic devices, such as waveguides and cavities, can strongly enhance the interaction of light with graphene. We describe techniques for enhancing the interaction of photons with graphene using chip-integrated nanophotonic devices. Transferring single-layer graphene onto planar photonic crystal nanocavities enables a spectrally selective, order-of-magnitude enhancement of optical coupling with graphene, as shown by spectroscopic studies of cavity modes in visible and infrared spectral ranges. We observed dramatically cavity-enhanced absorption, hot photoluminescence emission, and Raman scattering of the monolayer graphene. We also described a broad-spectrum enhancement of the light-matter interaction by coupling graphene with a bus waveguide on a silicon-on-insulator photonic integrated circuit, which enables a 6.2-dB transmission attenuation due to the graphene absorption over a waveguide length of 70 &#x03BC;m. By electrically gating the graphene monolayer coupled with a planar photonic crystal nanocavity, electrooptic modulation of the cavity reflection was possible with a contrast in excess of 10 dB. Moreover, a novel modulator device based on the cavity-coupled graphene-boron nitride-graphene capacitor was fabricated, showing a modulation speed up to 0.57 GHz. These results indicate the applications of graphene-cavity devices in high-speed and high-contrast modulators with low energy consumption. The integration of graphene with nanophotonic architectures promises a new generation of compact, energy-efficient, and ultrafast electrooptic graphene devices for on-chip optical communications.","10.1109/JSTQE.2013.2273412","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6576195&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6576195","Journals & Magazines","IEEE","","1077-260X","6576195","Absorption|Cavity resonators|Couplings|Graphene|Modulation|Optical waveguides|Raman scattering","III-V semiconductors|Raman spectra|boron compounds|capacitors|electro-optical modulation|graphene|infrared spectra|integrated optics|integrated optoelectronics|nanophotonics|optical couplers|optical fabrication|optical waveguides|photoluminescence|photonic crystals|visible spectra","","1"
